Entries= 50527, Total sum= 24000,,,,,,,,,,,
 fSumw[206]=32, x=16440,6]=32,=32,32,,,,,,,207,32
 fSumw[207]=20, x=16520,7]=20,=20,20,,,,,,,208,20
 fSumw[208]=28, x=16600,8]=28,=28,28,,,,,,,209,28
 fSumw[209]=20, x=16680,9]=20,=20,20,,,,,,,210,20
 fSumw[210]=25, x=16760,0]=25,=25,25,,,,,,,211,25
 fSumw[211]=36, x=16840,1]=36,=36,36,,,,,,,212,36
 fSumw[212]=38, x=16920,2]=38,=38,38,,,,,,,213,38
 fSumw[213]=28, x=17000,3]=28,=28,28,,,,,,,214,28
 fSumw[214]=27, x=17080,4]=27,=27,27,,,,,,,215,27
 fSumw[215]=30, x=17160,5]=30,=30,30,,,,,,,216,30
 fSumw[216]=24, x=17240,6]=24,=24,24,,,,,,,217,24
 fSumw[217]=28, x=17320,7]=28,=28,28,,,,,,,218,28
 fSumw[218]=32, x=17400,8]=32,=32,32,,,,,,,219,32
 fSumw[219]=29, x=17480,9]=29,=29,29,,,,,,,220,29
 fSumw[220]=25, x=17560,0]=25,=25,25,,,,,,,221,25
 fSumw[221]=26, x=17640,1]=26,=26,26,,,,,,,222,26
 fSumw[222]=27, x=17720,2]=27,=27,27,,,,,,,223,27
 fSumw[223]=26, x=17800,3]=26,=26,26,,,,,,,224,26
 fSumw[224]=26, x=17880,4]=26,=26,26,,,,,,,225,26
 fSumw[225]=26, x=17960,5]=26,=26,26,,,,,,,226,26
 fSumw[226]=31, x=18040,6]=31,=31,31,,,,,,,227,31
 fSumw[227]=19, x=18120,7]=19,=19,19,,,,,,,228,19
 fSumw[228]=23, x=18200,8]=23,=23,23,,,,,,,229,23
 fSumw[229]=22, x=18280,9]=22,=22,22,,,,,,,230,22
 fSumw[230]=24, x=18360,0]=24,=24,24,,,,,,,231,24
 fSumw[231]=24, x=18440,1]=24,=24,24,,,,,,,232,24
 fSumw[232]=21, x=18520,2]=21,=21,21,,,,,,,233,21
 fSumw[233]=27, x=18600,3]=27,=27,27,,,,,,,234,27
 fSumw[234]=23, x=18680,4]=23,=23,23,,,,,,,235,23
 fSumw[235]=18, x=18760,5]=18,=18,18,,,,,,,236,18
 fSumw[236]=34, x=18840,6]=34,=34,34,,,,,,,237,34
 fSumw[237]=28, x=18920,7]=28,=28,28,,,,,,,238,28
 fSumw[238]=18, x=19000,8]=18,=18,18,,,,,,,239,18
 fSumw[239]=28, x=19080,9]=28,=28,28,,,,,,,240,28
 fSumw[240]=29, x=19160,0]=29,=29,29,,,,,,,241,29
 fSumw[241]=28, x=19240,1]=28,=28,28,,,,,,,242,28
 fSumw[242]=23, x=19320,2]=23,=23,23,,,,,,,243,23
 fSumw[243]=24, x=19400,3]=24,=24,24,,,,,,,244,24
 fSumw[244]=22, x=19480,4]=22,=22,22,,,,,,,245,22
 fSumw[245]=28, x=19560,5]=28,=28,28,,,,,,,246,28
 fSumw[246]=18, x=19640,6]=18,=18,18,,,,,,,247,18
 fSumw[247]=12, x=19720,7]=12,=12,12,,,,,,,248,12
 fSumw[248]=17, x=19800,8]=17,=17,17,,,,,,,249,17
 fSumw[249]=29, x=19880,9]=29,=29,29,,,,,,,250,29
 fSumw[250]=27, x=19960,0]=27,=27,27,,,,,,,251,27
 fSumw[251]=17, x=20040,1]=17,=17,17,,,,,,,252,17
 fSumw[252]=26, x=20120,2]=26,=26,26,,,,,,,253,26
 fSumw[253]=24, x=20200,3]=24,=24,24,,,,,,,254,24
 fSumw[254]=29, x=20280,4]=29,=29,29,,,,,,,255,29
 fSumw[255]=24, x=20360,5]=24,=24,24,,,,,,,256,24
 fSumw[256]=26, x=20440,6]=26,=26,26,,,,,,,257,26
 fSumw[257]=27, x=20520,7]=27,=27,27,,,,,,,258,27
 fSumw[258]=23, x=20600,8]=23,=23,23,,,,,,,259,23
 fSumw[259]=32, x=20680,9]=32,=32,32,,,,,,,260,32
 fSumw[260]=31, x=20760,0]=31,=31,31,,,,,,,261,31
 fSumw[261]=25, x=20840,1]=25,=25,25,,,,,,,262,25
 fSumw[262]=19, x=20920,2]=19,=19,19,,,,,,,263,19
 fSumw[263]=13, x=21000,3]=13,=13,13,,,,,,,264,13
 fSumw[264]=33, x=21080,4]=33,=33,33,,,,,,,265,33
 fSumw[265]=18, x=21160,5]=18,=18,18,,,,,,,266,18
 fSumw[266]=23, x=21240,6]=23,=23,23,,,,,,,267,23
 fSumw[267]=29, x=21320,7]=29,=29,29,,,,,,,268,29
 fSumw[268]=26, x=21400,8]=26,=26,26,,,,,,,269,26
 fSumw[269]=24, x=21480,9]=24,=24,24,,,,,,,270,24
 fSumw[270]=24, x=21560,0]=24,=24,24,,,,,,,271,24
 fSumw[271]=17, x=21640,1]=17,=17,17,,,,,,,272,17
 fSumw[272]=26, x=21720,2]=26,=26,26,,,,,,,273,26
 fSumw[273]=16, x=21800,3]=16,=16,16,,,,,,,274,16
 fSumw[274]=24, x=21880,4]=24,=24,24,,,,,,,275,24
 fSumw[275]=27, x=21960,5]=27,=27,27,,,,,,,276,27
 fSumw[276]=25, x=22040,6]=25,=25,25,,,,,,,277,25
 fSumw[277]=29, x=22120,7]=29,=29,29,,,,,,,278,29
